unit	collocation
52	abandon a policy
10	abide by a decision
17	demonstrate an ability
17	proven ability
22	abject apology
56	abortive attempt
45	abrasive manner
7, 57	absolutely delighted
30	absolutely essential
59	absolutely furious
31	absolutely vital
7	utterly absurd
40	abuse trust
17	academic year
2, 47	broad accent
47	trace of an accent
36	remote access your email
29	accomplished actor
22	detailed account
18	exhaustive account
9	give an account of
33	open a current account
44	accumulate experience
48	amazing degree of accuracy
60	sense of achievement
43	belittle someone’s achievements
40	casual acquaintance
8	make someone’s acquaintance
17	acquire knowledge
27	acquire a taste for
9	get a message across
45	act your age
21	act as a go-between
44	act as a referee
28	act on a suggestion
10	act on a tip-off
12	take industrial action
54	flurry of activity
44	financial acumen
51	adapt to changing circumstances
10	jot down an address
35	address an issue
49	address a problem
10	adhere to beliefs
10	adhere to ideals
10	adhere to a philosophy
1, 10	adhere to principles
30	adhere to standards
2	adjourn a meeting
38	adjourn a trial
60	express admiration
60	profound admiration
59	admit defeat
48	adopt a method
60	surge of adrenalin
44	advanced computer skills
44	advanced knowledge
60	work to someone’s advantage
55	advantages outweigh the disadvantages
26	sense of adventure
26	thirst for adventure
37	adverse reaction
49	adverse weather conditions
15	affect the bottom line
33	keep afloat
28	after careful consideration
13	against your better judgement
8	make a stand against
22	take a firm stance against
41	feel your age
45	look your age
23	age-old tradition
17	mental agility
24	anti-aging properties
33	agreed credit limit
30	arrive at an agreement
2	in broad agreement
21	broker an agreement
21	enter into an agreement
21, 30	reach agreement
9	state an aim
22	air a grievance
25	air quality
26	low-cost airline
15	free airtime
52	set off a fire alarm
1	alight from a bus
38	deny all knowledge
32	open all hours
58	with all due respect
29	all-star cast
52	allay fears
15	allocate part of a budget
34	allocate resources
31	alternative energy source
59	be left with little alternative
10	come up with an alternative
48	feasible alternative
29	amazing chain of events
60	lifelong ambition
50	inordinate amount
50	significant amount (of)
50	substantial amount (of)
46	ample room
4	source of amusement
18	critical analysis
45	pent-up anger
14	announce record profits
23	annual tradition
58	give a straight answer
28	eager anticipation
35	antisocial behaviour
58	give a full apology
8	make an apology
36	download an app
38	appear in court
19	put in an appearance
10	work up an appetite
30	put in an application
48	step-by-step approach
30	approve a plan
26	arduous journey
35	run-down area
20	be drawn into an argument
20	lose an argument
55	other side of the argument
18	thrust of an argument
20	win an argument
49	difficulty arises
21	dispute arises
3	opportunity arises
49	problem arises
39	disband an army
20	rumour flies around
1	arouse someone’s interest
8	make arrangements
30	arrive at arises an agreement
28	arises a conclusion
7	thoroughly ashamed
5	ask for an extension
11	aspects of the job
4	assess something’s value
30	carry out a risk assessment
48	immense asset
5	hand in assignments
5	submit assignments
58	give repeated assurances
50	astronomical fees
19	convivial atmosphere
8, 29	create an atmosphere
29	evoke an atmosphere
43	poison the atmosphere
10	soak up the atmosphere
40	come under attack
37	massive heart attack
39	unprovoked attack
3	spate of attacks
52	abandon an attempt
8	make an attempt
19	attend a formal function
17	attend school
29	hold someone’s attention
41	undivided attention
17	attention wanders
24	formal attire
43	have an attitude problem
3	stunningly attractive
2	auburn hair
30	exercise authority
17	leading authority
30	in a position of authority
25	automatic car
2	broad avenue
29	awaken your interest
42	award presenting an
38	award damages
27	be awarded a penalty
13	become aware
5	totally awesome
54	troop of baboons
41	newborn baby
24	back in fashion
46	bring back memories
58	go back on a promise
33	pay back a loan
36	push back the frontiers
23	tradition dates back to
25	traffic tails back
32	back of beyond
57	glad to see the back of
56	put your back into
18	back up conclusions
56	have the backbone to
20	bad language
40	on bad terms
49	take something badly
27	keep your balance
55	strike a balance (between)
14	balance the books
36	online banking
19	have a barbecue
19	organise a barbecue
3	barrage of insults
3	barrage of questions
7	loosely based on
48	basic principle
4	win the battle
22	be given leave
38	be given a sentence
27	be given a yellow card
23	be joined in matrimony
11	be open to offers
28	be the only option open to someone
37	be in poor health
12	be prospects for
59	be in for a shock
25	bear left
55	bear little resemblance to
13	bear in mind
55	bear a striking resemblance to
29	bear the suspense
55	not bear comparison with
57	not bear the thought of
26	off the beaten track
24	exclusive beauty salon
41	become a habit
