1	add up (sth) or add (sth) up	to calculate the total of two or more numbers
1	breakaway	adj a breakaway group is a group of people that stop being part of another group, often because they disagree with them
1	breakout	n when someone escapes from prison
1, 50	be cast away	to be on an island with no other people after swimming from a ship that is sinking
1	cover-up	n if someone stops people from discovering the truth about something bad
1, 2	get on (with sb)	to like someone, and enjoy spending time with them
1	get up	to stand up
1	hold back sb/sth or hold sb/sth back	to prevent something from working effectively, or to prevent someone or something from making progress
1	hold down sb or hold sb down	to limit the freedom of a group of people
1	hold out for sth	to wait until you get what you want and to refuse to accept anything less
1	lockout	n when workers are prevented from entering their place of work until they agree to particular conditions given by the employer
1, 3	onset	n the moment at which something unpleasant starts
1, 4	outgoing	adj if someone is outgoing, they are friendly and energetic and find it easy and enjoyable to be with others
1	pick up (sth) or pick (sth) up	to start something again [e.g. story, relationship] from the point where you had stopped
1	roll (sb/sth) over	to turn from lying on one side of your body to the other side, or to make someone or something turn from one side to the other
1, 51	send in sb or send sb in	to send a group of people with special skills [e.g. police, troops] to deal with a difficult situation
1	shake-up	n when big changes are made to an organisation in order to improve it
1	shutdown	n when a factory or business closes and stops working
1, 3	standby	n a person or thing that can be used if someone or something else is not available or cannot be used
1	stand up	to rise from a sitting or lying position to a standing position
1, 20	strike back (at)	to attack someone who has attacked you
1, 43	wear out sb or wear sb out	to make someone very tired
1, 4	worn-out	adj weak and damaged through much use
2, 18	associate sth with sth	to connect someone or something in your mind with someone or something else
2, 49	branch off	if a road or path branches off, it goes in another direction
2, 34	contend with sth	to have to deal with a difficult or unpleasant situation
2	cope with sth	to deal successfully with a problem or difficult situation
2, 12	cut off sth or cut sth off	to stop the supply of something such as electricity, gas or water
2, 34	deprive sb/sth of sth	to take something important away from someone
2	die away	if something, especially a sound, dies away, it gradually becomes less strong or clear and then stops
2, 43	drop off	to fall asleep
2	face up to sth	to accept that a difficult or unpleasant situation exists
2	fold up (sth) or fold (sth) up	to make something [e.g. cloth, paper, chair] into a smaller, neater and usually flatter shape by folding it, or to be able to be folded in this way
2, 47	freeze over	if water freezes over, it becomes covered with ice
2	knock down sth or knock sth down	to destroy and remove a building or part of a building [esp. wall]
2, 32	mark down sb or mark sb down	to give someone a lower result in an exam or competition because they have made a mistake or done something wrong
2, 32	move up (sb) or move (sb) up	if a student moves up, or if a teacher moves them up, they are put in a higher level or class
2	put up with sb/sth	to tolerate unpleasant behaviour or an unpleasant situation
2, 38	tie back sth or tie sth back	to fasten something that usually hangs down [esp. hair] so that it is fixed in position and not hanging down
3, 54	back-up	n support, help or something that you have arranged in case your main plans or equipment go wrong
3	breakdown	n when talks between two groups of people fail because of a disagreement or problem
3	break-in	n when someone manages to get in a building by using force, usually in order to steal something
3, 26	build up (sth) or build (sth) up	to increase in amount, size, or strength, or to make something increase in amount, size, or strength
3	build-up	n when something increases in amount, size or strength
3, 35	buy out sb/sth or buy sb/sth out	to buy part of a company or building that belonged to someone else so that you own all of it
3	buyout	n the buying of a company, especially by the people who previously managed it or worked for it
3	comeback	n when a performer gives a performance he hopes will make him popular again
3	downpour	n a sudden, heavy fall of rain
3	input	n contribution to a system to help it operate
3	knockabout	n British informal when two or more people kick or hit a ball to each other for pleasure but not in a serious way, sometimes to warm up before a game
3, 42	letdown	n something which is not as good as you thought it would be
3	lift-off	n the moment when a spacecraft leaves the ground
3	lookout	n a person who looks at what is happening in the area around them, especially in order to watch for any danger
3	outbreak	n sudden beginning of something, especially something unpleasant
3	outlook	n the likely future situation
3	output	n an amount of something, produced by a person, machine, factory or country
3	overkill	n when there is more of something than is needed
3, 11	set in	if something unpleasant sets in, it begins and seems likely to continue
3, 20	set (sth/sb) on sb	to attack someone, or to make a person or animal attack someone
3	stand-off	n when two groups fail to reach an agreement in talks
3	start-up	n when a business or organisation is created and starts to operate
3, 50	stow away	to hide on a ship, aircraft, or other vehicle, in order to travel secretly or without paying
3, 50	stowaway	n a person who stows away
3	toss-up	n informal a situation in which two people or things seem equally likely to be chosen or two possible results seem equally likely to happen
3	walk-on	adj a walk-on part in a play is a very small part with no words for the actor to speak
3, 51	walk out	to stop working because of a disagreement with your employer
3	walkout	n when workers stop working because of a disagreement with their employer
3	warm-up	n when a performer makes a group of people who are going to watch a performance start to enjoy themselves by entertaining them for a short time before the performance
4	broken down	adj if a machine or vehicle is broken-down it no longer works
4	built-in	adj if something is built-in, it is made so that it fits into part of a wall or room
4	downcast	adj sad and depressed
4	fallback	adj a fallback position is something you use when other things have failed, or when there are no other choices
4	foldaway	adj a foldaway bed has parts that can be folded so that it is smaller and can be stored somewhere
4	fold-up	adj a fold-up chair can be made into a smaller, neater and flatter shape, by folding it
4	forthcoming	adj if a forthcoming event, action, or product is one which will happen or become available soon
4	go-ahead	adj using new methods and ideas to succeed
4	left out	adj if someone feels left out, they are unhappy because they have not been included in an activity or conversation
4	live-in	adj a live-in nanny lives at the home of the children she cares for
4	off-putting	adj slightly unpleasant or worrying so that you are discouraged from getting involved in any way
4	ongoing	adj if a problem is ongoing, it continues to be a problem
4	outdated	adj old-fashioned and therefore not as good or as fashionable as something that is modern
4, 40	outspoken	adj if someone is outspoken, they express their opinions even though other people might be offended by them
4	outstretched	adj if someone’s arms are outstretched they are held out in front of the person’s body, often in order to greet someone
4	overpriced	adj too expensive
4	tired out	adj completely exhausted
4	watered-down	adj when something is made less strong in order to make people agree with it
4	worked up	adj if you are worked-up, you feel very upset, nervous or excited about something
5	dash off	informal to leave a place quickly
5	drive off	to leave in a vehicle
5	ease off/up	to gradually stop or become less
5, 41	go off sb/sth	to stop liking someone or something
5, 41	hanker after/for sth	to want something very much, especially something you know you should not want
5	head off swh	to begin a journey or to leave
5, 24	hit on sth	to have a good idea, especially one that solves a problem
5, 59	keep in with sb	British & Australian to continue to be friendly with someone, especially because they can help you
5, 32	pore over sth	to study or look carefully at something, especially a book or document
5, 28	be riddled with sth	be full of something, especially something bad or unpleasant
5, 7, 32	sail through (sth)	to succeed very easily, especially in a test, examination etc.
5	stream into swh	to move continuously in one direction, especially if a lot of people do this at the same time
6	accede to sth	formal to agree to something that someone has asked for [e.g. request, demand], often after disagreeing with it
6	ascribe sth to sth	formal to believe or say that something is caused by something else
