unit	collocation
52	have the ability to
51	abrupt end
51	absolute beginner
59	absolute favourite
6	absolutely absurd
6	absolutely alone
6	absolutely appalled
6	absolutely convinced
6	absolutely devastated
6	absolutely exhausted
6	absolutely impossible
6	absolutely miserable
6	absolutely ridiculous
6	absolutely stupid
6	absolutely wrong
23	absorbed in a book
35	drug abuse
3	accept an offer
20	accept someone’s proposal
58	fully accept
11	gain access
2	have access to
47	speedy access
9	have an accident
60	receive critical acclaim
14	budget accommodation
21	short-let accommodation
21	suitable accommodation
58	deny an accusation
58	face an accusation
58	openly accuse
58	wrongly accuse
26	dull ache
3	aches and pains
25	achieve a personal best
11	achieve success
11	achieve your aims
25	achieve your ambition
11, 30	achieve your goals
52	crowning achievement
52	remarkable achievement
32	acknowledge your sources
58	widely acknowledged
28	acquire a qualification
45	acquired taste
45	acrid smoke
19	acrimonious divorce
34	act as a deterrent
34	act within the law
35	act of terrorism
38	army goes into action
47	swift action
9	take action
38	peace activist
25	do activities
54	acute hearing
54	acute sense of smell
4	acutely embarrassing
26	acutely painful
43	add colour to
21	add an extension
22	food additives
48	exchange addresses
49	address someone politely
48	make an adjustment
59	fill someone with admiration
15	admire the view
59	keen admirer
48	adopt an approach
33	adopt a position
24	adoring fan
11	gain an advantage
9, 52	take advantage of
53	adverse effect
58	contradictory advice
2	piece of advice
57	take someone’s advice
57	strongly advise
25	do aerobics
25	go to aerobics
20	have an affair
53	affect someone deeply
6	deeply affected
21	affordable housing
31	after-sales service
14	travel agent
40	take someone ages
55	agree to differ
55	agree up to a point
55	entirely agree
55	tend to agree
55	wholeheartedly agree
55	be in agreement
55	in complete agreement
38	negotiate a peace agreement
55	unanimous agreement
40	have a great future ahead
26	be diagnosed with AIDS
26	develop AIDS
26	minor ailment
26	trivial ailment
50	wander aimlessly
5	board an aircraft
21	light, airy bedrooms
14	aisle seat
40	alarm goes off
53	cause alarm
41	cry of alarm
40	set your alarm
24	album features
24	debut album
24	release an album
38	all-out war
59	all-time favourite
58	deny an allegation
58	make an allegation
58	serious allegation
3	alleviate pain
26	alleviate the pain
39	alleviate poverty
34	rules allow
41	almighty bang
41	almighty explosion
56	leave someone alone
10	live alone
10	travel alone
6	utterly alone
55	go along with an idea
55	go along with a view
48	make a slight alteration
48	have clothes altered
26	develop Alzheimer’s disease
46	considerable amount
46	enormous amount
42	large amount
46	minute amount
46	significant amount
42	small amount
46	substantial amount
46	surprising amount
46	tiny amount
33	draw an analogy
10	ancient history
1	ancient monument
10	ancient times
21	mounting anger
21	seething with anger
4	surge of anger
50	stride angrily
8	become angry
8	get angry
30	answer the phone
47	quick answer
10	antique furniture
10	antique jewellery
27	anti-virus software
53	cause anxiety
21	increasingly anxious
56	poles apart
21	newly-built apartment
49	apologise profusely
6	utterly appalled
18	have a striking appearance
18	youthful appearance
22	healthy appetite
22	spoil your appetite
60	round of applause
60	thunderous applause
28	send in an application
28	submit an application
19	apply for custody of
30	apply for a job
34	regulations apply to
34	rules apply to
30	keep an appointment
30	make an appointment
55	appreciate someone’s point of view
60	heartily approve
60	warmly approve
25	do archery
59	ardent fan
16	conservation area
16	deprived area
43	grey area
16	inner-city area
42	neighbouring area
16	no-go area
16, 21	residential area
33	argue convincingly
6	argue strongly
58	back up an argument
55	enter into an argument
