1, 22	be at loggerheads
1, 2, 41	drive/send sb round the bend/twist
1, 62	as free as a bird
1, 2, 38	kill two birds with one stone
1, 52	in the blink of an eye
1, 43	out of the blue
1, 49	a bone of contention
1	be as dry as a bone
1, 36	pass the buck
1	cool, calm and collected
1, 11	the pros and cons
1, 8	by hook or by crook
1, 57	cut a long story short
1, 48	put your foot down
1, 13, 15	give sb a hard/rough/tough time
1, 6	have second thoughts
1, 53	lie through your teeth
1, 24	pay through the nose for sth
1, 4	rough and ready
1, 13, 15	give sb a rough/hard/tough time
1, 17	safe and sound
1, 2, 4, 41	send/drive sb round the bend/twist
1, 2, 4, 41	drive/send sb round the twist/bend
1, 38	be (like) water off a duck's back
1, 24	well-to-do
2, 20	against (all) (the) odds
2	An apple a day keeps the doctor away.
2, 38	let the cat out of the bag
2	a slime ball
2, 43	come (back) down to earth with a bang/bump/jolt
2, 50	be banging/hitting your head against a brick wall
2, 24	pick up the bill/tab
2, 49	I (can) feel it in my bones
2	be on the brink of sth
2, 43	come (back) down to earth with a bump/bang/jolt
2	make your day
2	frighten/scare the (living) daylights out of
2	be man enough to do sth
2	stuff your face
2	not look a gift horse in the mouth
2	give you pause for thought
2, 61	hold/stand your ground
2, 50	be hitting/banging your head against a brick wall
2	from time immemorial
2, 43	come (back) down to earth with a jolt/bang/bump
2, 39	put/stick the knife in
2, 11	tie yourself (up) in knots
2	There's no peace/rest for the wicked!
2	There's no rest/peace for the wicked!
2	scare/frighten the (living) daylights out of
2, 61	stand/hold your ground
2, 39	stick/put the knife in
2, 24	pick up the tab/bill
3	be floating/walking on air
3	grin and bear it
3	be thrilled to bits
3	be on cloud nine
3	put a dampener/damper on
3	be down in the dumps
3	not be the end of the world
3	get a (real) kick out of sth
3	sour grapes
3	a misery guts
3	be in seventh heaven
3	jump for joy
3	do sth for kicks
3	cloudspeak louder than words
3	made for
3, 43	be over the moon
3	be out of sorts
3	be on top of the world
3	be walking/floating on air
4	be after sb's blood
4	fed up (to the back teeth)
4, 56	get/put sb's back up
4	be out for blood
4	sb's blood is up
4, 45	blow a fuse/gasket
4, 38	put/set the cat among the pigeons
4	steer a middle course
4	go off the deep end
4	drive sb up the wall
4	give sb an earful
4	be at your wits' end
4	ruffle sb's feathers
4	have/throw a fit
4	give sb a piece of your mind
4	have had it up to here
4	do your nut
4, 56	put/get sb's back up
4, 22	rub sb up the wrong way
4, 38	send/put the cat among the pigeons
4	not be on speaking terms
4	throw/have a fit
5	(not) ring any bells / a bell (with me)
5	(not) ring a bell / any bells (with me)
5	can't for the life of me
5	not have a clue
5	get (hold of) the wrong end of the stick
5	not have the faintest idea
5	have a familiar ring (to it)
5	not have the foggiest (idea)
5	know sth inside out
5	know your stuff
5	be out of touch with
5	put two and two together
6	(it) beats me
6	put sth down to experience
6	be a figment of your imagination
6	give sb food for thought
6	get the message
6	hear sth on/through the grapevine
6	the ins and outs
6	know where you stand
6	learn your lesson
6	teach sb a lesson
6	lose sight of
6	put/set the record straight
7	make all the difference
7	the be-all-and-end-all
7	hit the big time
7	be a blessing in disguise
7	not have the ghost of a chance
7	go/work like a dream
7	give up the ghost
7	go from strength to strength
7	go places
7	make a go of
7	leave your mark
7	be lost for words
7	work like magic
7	make a go
7	sb/sth is a victim of their/its own success
7	do the trick
7	work/go like a dream
8	be left holding the baby
8	have sb over a barrel
8	draw a blank
8	a stumbling block
8	come up against a brick wall
8	clutch at straws
8	dig yourself into a hole
8	be in dire straits
8	easier said than done
8	face the music
8	a fact of life
8	the facts of life
8, 48	put your foot in it
8	spread yourself too thin
9	the answer to sb's prayers
9, 35	in the bag
9	get to the bottom of
9	bring sth to light
9	come to light
9	make do
9	light at the end of the tunnel
9	tie up loose ends
9	fall into place
9	get to grips with
9	give it a shot/whirl
9	shed/throw light on
9	to be on the safe side
9	pick up the pieces
9	throw/shed light on
9	wave a magic wand
9	give it a whirl/shot
10	a hidden agenda
10	be at sb's beck and call
10	bend the rules
10	carry the can
10	if the worst comes to the worst
10	leave sb to their own devices
10	a spin doctor
10	be at/on the receiving end
10	get your own way
10	get/let sb off the hook
10	go to the polls
10	take the law into your own hands
10	become a law unto yourself
