1,52	ask out sb or ask sb out	to invite someone to come with you to a place such as the cinema or a restaurant, especially as a way of starting a romantic relationship
1,2	break down	if a machine or vehicle breaks down, it stops working
1,25	bring back sth or bring sth back	to make someone remember or think about something from the past
1,31,64	bring up sth or bring sth up	to start to talk about a particular subject, or open something on a screen
1,2,33	call off sth or call sth off	to decide that a planned event or activity will not happen, especially because it is no longer possible or useful
1,6	come across sth/sb	to discover something by chance, or to meet someone by chance
1,68	do away with sth	to get rid of something, or to stop using something
1,63	drop off sb/sth or drop sb/sth off	to take someone to a place that they want to go to, or to deliver something to a place, usually in a car, often when you are going somewhere else
1,60	eat out	to eat a meal in a restaurant, not at home
1,9	look after sb/sth	to take care of someone or something by doing what is needed to keep them well or in good condition
1,9	look down on sb/sth	to think that someone is less important than you, or to think that something is not good enough quality for you to use
1,9	look forward to sth/doing sth	to feel pleased and excited about something that is going to happen
1,9,26	look up	if a situation is looking up, it is improving
1,9	look up sb or look sb up	to visit someone who you have not seen for a long time when you are visiting the place where they live
1,9	look up sth or look sth up	to look at a book or computer in order to find a piece of information
1,10	make out sb or make sb out	to understand why someone behaves in the way that they do
1,18	mess sb about/around	informal to treat someone badly, especially by changing your mind a lot or not doing what you have promised
1,17,44	note down sth or note sth down	to write or type words or numbers, often so that you do not forget them
1	play up	British & Australian if a machine or part of a machine plays up, it does not work as it should
1,2,11,33	put off sth/doing sth or put sth off	to decide or arrange to do something at a later time
1,11,19	put up with sth/sb	to accept unpleasant behaviour or an unpleasant situation, even though you do not like it
1,15	send off sth or send sth off	to send a letter, document, or parcel by post
1,36	sort out sth or sort sth out	to make a decision about something by discussing it with someone else or by considering it carefully
1,2,5,13	turn up	if someone or something turns up somewhere, they arrive at that place
2,39	brush aside sb/sth or brush sb/sth aside	to refuse to listen to what someone says, or to refuse to think about something seriously
2	chase up sth or chase sth up	to try to get something that belongs to you or that you need, or to try to discover more information about something
2	cut off sb/sth or cut sb/sth off	to prevent people from reaching a place or leaving a place
2	cut out	if an engine, machine or piece of equipment cuts out, it suddenly stops working
2,14	cut out sth or cut sth out	to remove something by cutting, especially something made of paper or cloth
2,32	dress up (sb) or dress (sb) up	to put on formal or special clothes for a special occasion, or to put them on someone else
2,39	fall for sth	to be tricked into believing something that is not true
2,7	get away	to leave a place or person, often when the situation makes it difficult for you to do this
2,5,7	get on	if two or more people get on, they like each other and are friendly to each other
2,5,62	get on (sth)	to go onto a bus, train, aircraft, or boat
2,38	give in	to finally agree to what someone wants after a period when you refuse to agree
2,42	give in sth or give sth in	to give a piece of written work or a document to someone for them to read, judge, or deal with
2	go against sth/sb	to do the opposite of what someone has asked or advised you to do
2	go down	to become lower in level
2,8	go through sth	to experience an unpleasant or difficult situation or event
2,16	keep on doing sth	to continue to do something, or to do something again and again
2,14	leave out sb/sth or leave sb/sth out	to not include someone or something
2	look back	to think about or remember something that happened in the past
2,10	make out sth/sb or make sth/sb out	to be able to see or hear something or someone, usually with difficulty
2,63	pick up sb/sth or pick sb/sth up	to collect someone who is waiting for you, or to collect something that you have left somewhere or that you have bought
2,30	see to sth/sb	to deal with something that needs doing or to help someone who needs your help
2	take off sth or take sth off	to remove something, especially something that you are wearing
2	turn off sth or turn sth off	to touch a switch so that a machine or a piece of electrical equipment stops working, or to stop the flow or supply of something [e.g. water, electricity]
3,17	fall over	if someone falls over, they fall to the ground
3	invite along sb or invite sb along	to ask someone if they would like to go with you to an event or activity
3,59	invite around/round sb or invite sb around/round	to ask someone to come to your home
3	invite back sb or invite sb back	to ask someone to come to your home after you have been out somewhere together
3	invite in sb or invite sb in	to ask someone if they would like to come into your house
3,59	invite out sb or invite sb out	to ask someone to go with you to a place, for example a restaurant or the cinema
3,59	invite over sb or invite sb over	to ask someone to come to your home
3	invite up sb or invite sb up	to ask someone if they would like to come upstairs
3	look for sth/sb	to try to find something or someone, either because you have lost them or because you need them
3,9,17	look over sth/sb or look sth/sb over	to quickly examine something or someone
3,17,29	move over	to change the place where you are sitting or standing so that there is space for someone else to sit or stand
3,63	pull over	to drive a car to the side of the road in order to stop
3,17	read over/through sth or read sth over/through	to read something from the beginning to the end in order to find any mistakes or to understand it better
3,36	talk over sth or talk sth over	to discuss a problem or situation, especially before making a decision about it
3,37	think over sth or think sth over	to think carefully about an idea or plan before making a decision
3,44	turn over (sth) or turn (sth) over	to turn a page in a book so that the side which was facing down is now facing up
3,58	wake up (sb) or wake (sb) up	to become conscious after sleeping, or to make someone do this
4,56	blocked-up adj	filled with something so that nothing can pass through [used of a narrow space]
4	break in	to get into a building or car by using force, usually in order to steal something
4,67	break-in n	when someone forces their way into a building or car, usually to steal something
4,66	breakthrough n	an important discovery or success that helps you achieve or deal with something
4	bystander n	a person who sees something happening but who is not involved
4,26	changeover n	a complete change from one system or method to another
4,62	check-in n	the place at an airport where you go to say that you have arrived for your flight
4	checkout n	the place where you pay for things in a big shop
4	cover-up n	an attempt to stop people discovering the truth about something bad
4	cutback n	a reduction in the amount of money that is being spent on something
4,27	downfall n	the sudden failure of a person or organisation, or something that causes this
4,43,55	drop out	if a student drops out, they stop going to classes before they have finished their course
4	dropout n	a person who leaves school or college before finishing a course
4	fall down	to fail because of not being satisfactory for a particular purpose
4	goings-on n	strange or amusing events
4,42	handout n	a piece of paper that is given to people who go to a talk or class and which has information on it about the subject dealt with in the talk or class
4,60	leftovers n	food that was prepared for a meal but not eaten
4,9	look on	to watch an activity or event without becoming involved in it
4,9	onlooker n	a person who watches an activity or event without becoming involved in it
4,34	mix-up n	a mistake caused by confusion which prevents something from being done or causes something to be done incorrectly
4,38	outcry n	a public expression of anger or disapproval
4,28	outset n	the beginning of something
4,63	pile-up n	an accident involving several cars
4	put-down n	an unkind remark that makes someone seem foolish
4,48	rip off sb or rip sb off	informal to cheat someone by making them pay too much money for something
4,48	rip-off n	informal something that costs far too much money
4,31	run-through n	a practice or rehearsal
4,40	show-off n	someone who tries to make people admire them in a way other people find annoying
4,30	tear down sth or tear sth down	to destroy a building or other structure because it is not being used or it is not wanted any more
4,49	turnover n	the total amount of money made by a company or business in a particular period of time
4,57	warm up (sth) or warm (sth) up	to prepare yourself for a physical activity by doing some gentle exercise
4,57	warm-up n	a preparation for physical activity
5	blow up	informal to suddenly become very angry
5	blow up (sth/sb) or blow (sth/sb) up	to destroy something or kill someone with a bomb, or to be destroyed or killed with a bomb
5,29	blow up sth or blow sth up	to fill something [e.g. balloon, tyre] with air
5,13	clear up (sth) or clear (sth) up	to make a place tidy and clean, especially by putting things where they usually belong
5	get down to sth/doing sth	to start doing something seriously and with a lot of your attention and effort
5,61	let up	informal if bad weather or an unpleasant situation lets up, it stops or improves
5	slip up	informal to make a mistake
5	take in sb or take sb in	to let someone stay in your house
5	take in sth or take sth in	if a boat takes in water, water enters the boat through a hole
5,13	tidy up (sth) or tidy (sth) up	to make a room or a group of things tidy by putting things in the correct place
6	come about	when you say how or why something comes about, especially something which is not planned, you explain how or why it happens
6	come along	to arrive at a place
6	come apart	if something comes apart, it separates into pieces
6	come down to sth	if a situation or decision comes down to something, that is the thing that will influence it most
6,27	come off	to happen successfully or as planned
6	come out	if dirt or colour comes out of something, especially clothing or cloth, it disappears or becomes less strong after being in water
6	come to sth	if you come to a decision or a conclusion, you make a decision about something, or you decide what you think about something
6	come up	if a subject [e.g. issue, name] comes up in a conversation, it is discussed or mentioned
7	be getting at sth	informal if you ask someone what they are getting at, you are asking them what they mean, usually because they have expressed something indirectly
7	can’t/couldn’t get over sth	if someone can’t get over something, they are very surprised or shocked that something has happened or that something is true
7	get around/round sth	to find a way of dealing with or avoiding a problem
7	get around/round to sth/doing sth	to do something that you have intended to do for a long time
7	get at sth	see be getting at sth
7	get behind	if you get behind with work or with payments, you have not done as much work or paid as much money as you should by a particular time
7	get by	to have just enough money to pay for the things that you need, but nothing more
7	get sth over with	to do and complete something difficult or unpleasant that must be done
7	get together (sb) or get (sb) together	if two or more people get together, or if someone gets two or more people together, they meet in order to do something or spend time together
7	getting at sth	informal if you ask someone what they are getting at, you are asking them what they mean, usually because they have expressed something indirectly
